name,code,Barcode Symbology,brand,categoria,Unit Code,Sale Unit Code, Purchase Unit Code,purchase_price,sale_price,stockm, Tax Rate Name,Tax Method,imagen,subcateogoria,modelo,detalle CF1,dto1,dto2,dto3,rec1,rec2, HSN Code,marca
8797Vit,8797VIT,code128,Otros,83,unidad,unidad,unidad,101,159,3,No Tax,exclusive,16042018_0927301.jpeg,34,,Medida 35 x 50 x 8,0,0,0,21,30,,DBH
JR-521-15,8004521150017,code128,Chevrolet,62,unidad,unidad,unidad,1.836,1.841,3,No Tax,exclusive,16042015_1305121.jpeg,48,1.0 8v,MPFI - Fun| Celta,10,25,0,21,30,,ILLINOIS
759,AL-759,code128,Chevrolet,11,unidad,unidad,unidad,2.071,2.216,2,No Tax,exclusive,12072016_1520201.jpeg,,1.0 8v,Suzuki fun - Carburador -  Letra J,32,0,0,21,30,,AMOROSO
SC-14165 STD,SC-14165 STD,code128,Chevrolet,38,unidad,unidad,unidad,2.557,3.712,1,No Tax,exclusive,23062015_1235011.jpeg,,1.0 8v,Corsa| Fun - diam 71mm,0,0,0,21,20,,MAHLE
52032V,52032V,code128,Peugeot,73,unidad,unidad,unidad,299,471,2,No Tax,exclusive,25012019_1115081.jpeg,34,1.0 8v (D7D)|1.2 8v (D7F),Twingo| Clio - (6 x 10.80 x 20),0,0,0,21,30,,TEN UP
JD-395-15,JD-395-15,code128,Renault,65,unidad,unidad,unidad,1.603,1.891,1,No Tax,exclusive,29052019_1033431.jpeg,48,1.0 8v (D7D)|1.2 8v (D7F),Twingo,25,0,0,21,30,,ILLINOIS
TAP0300,TAP0300,code128,Suzuki,39,unidad,unidad,unidad,4.473,7.037,1,No Tax,exclusive,18012018_0844581.jpeg,,1.0 8v (F8A),Jimny| Samurai| Swift| Alto| Maruti,0,0,0,21,30,,IMPORTADO
09VW0069,09VW0069,code128,Volkswagen,20,unidad,unidad,unidad,211,358,1,No Tax,exclusive,31032015_1225551.jpeg,,1.0 8v (Gol),Gol| Ibiza,0,0,0,21,40,,SEEGER RENO
1000315,1000315,code128,Volkswagen,15,unidad,unidad,unidad,1.245,1.762,1,No Tax,exclusive,19022019_0851591.jpeg,,1.0 8v (Gol),Gol| Seat - (Remanufacturado),10,0,0,21,30,,VITOBELLO RICAMBI
280155812,280155812,code128,Volkswagen,27,unidad,unidad,unidad,2.000,2.000,1,No Tax,exclusive,21012019_1406541.jpeg,,1.0 8v (Gol),Gol,0,0,0,0,0,,VITOBELLO RICAMBI
