name,code,Barcode Symbology,unit,precategoria,Unit Code,Sale Unit Code, Purchase Unit Code,,,stockm, Tax Rate Name,Tax Method,imagen,categoria,modelo,detalle,dto1,dto2,dto3,rec1,rec2, HSN Code,marca
60,AL-060,code128,Volkswagen,11,unidad,1,1,1.946,1.946,3,No Tax,exclusive,13072016_1513401.jpeg,,1.6 8v D,Senda| Saveiro| Gol,32,0,0,21,30,,AMOROSO
110,AL-110,code128,Fiat,11,unidad,1,1,2.084,2.084,1,No Tax,exclusive,15072016_1310411.jpeg,,1.3 8v D,Duna| Uno| Fiorino| 147,32,0,0,21,30,,BH
116,AL-116,code128,Chevrolet,11,unidad,1,1,2.573,2.573,1,No Tax,exclusive,21112016_1210051.jpeg,,230 / 250 (Chevy),194 - 230 - 250 - Chevy| Chevrolet 400,32,0,0,21,30,,BH
117,AL-117,code128,Peugeot,11,unidad,1,1,2.063,2.063,1,No Tax,exclusive,14072016_1431521.jpeg,,1.6 8v (404)|1.8 8v (504)|2.0 8v (504/505)|2.0 8v (505 GAMA),404| 504| 505 Gama,32,0,0,21,30,,BH
122,AL-122,code128,Renault,11,unidad,1,1,1.915,1.915,1,No Tax,exclusive,15072016_1303481.jpeg,,1.3 8v (R12)|1.4 8v (R12),R12,32,0,0,21,30,,BH
123,123,code128,Ford,11,unidad,1,1,2.565,2.565,1,No Tax,exclusive,21092016_1459461.jpeg,,3.0 12v (188)|3.0 12v (Max Econo)|3.6 12v (221),Falcon| F100,32,0,0,21,30,,BH
124,124,code128,Ford,11,unidad,1,1,2.565,2.565,1,No Tax,exclusive,21092016_1501561.jpeg,,3.6 12v (221 SP),Falcon SP,32,0,0,21,30,,BH
126,AL-126,code128,Renault,11,unidad,1,1,2.138,2.138,1,No Tax,exclusive,15072016_1300591.jpeg,,1.4 8v (R6),R6,32,0,0,21,30,,BH
127,AL-127,code128,Renault,11,unidad,1,1,2.138,2.138,1,No Tax,exclusive,15072016_1305191.jpeg,,1.0 8v (R4S),1.020cc Nafta - 4 S,32,0,0,21,30,,BH
129,AL-129,code128,Peugeot,11,unidad,1,1,2.034,2.034,1,No Tax,exclusive,14072016_1512291.jpeg,,XD2 (INDENOR)|XD3 (INDENOR),504| 505 - Indenor,32,0,0,21,30,,BH
131,AL-131,code128,Renault,11,unidad,1,1,1.813,1.813,1,No Tax,exclusive,15072016_1253301.jpeg,,1.4 8v (R12),R9| R11| Trafic,32,0,0,21,30,,BH
132,AL-132,code128,Renault,11,unidad,1,1,1.813,1.813,1,No Tax,exclusive,14072016_1348121.jpeg,,1.4 8v (R12)|1.6 8v (C1L/C2L)|1.6 8v (Carburador),R12| R9 TS| R11 TS,32,0,0,21,30,,BH
140,AL-140,code128,Ford,11,unidad,1,1,2.268,2.268,1,No Tax,exclusive,06062016_2130311.jpeg,,2.0 8v (Taunus)|2.3 8v (Taunus),Taunus,32,0,0,21,30,,AMOROSO
140,AL- 140,code128,Renault,11,unidad,1,1,2.125,2.125,1,No Tax,exclusive,15072016_1308271.jpeg,,2.1 D (J8S),Trafic| R18| R21,32,0,0,21,30,,BH
141,AL-141,code128,Renault,11,unidad,1,1,2.281,2.281,1,No Tax,exclusive,14072016_1345071.jpeg,,2.2 8v (R18/R21),R18| R21| Fuego,32,0,0,21,30,,BH
146,AL-146,code128,Fiat,11,unidad,1,1,2.097,2.097,1,No Tax,exclusive,14072016_1422191.jpeg,,1.9 8v D|1.9 8v TD,Ducato,32,0,0,21,30,,BH
148,AL-148,code128,Renault,11,unidad,1,1,2.247,2.247,1,No Tax,exclusive,14072016_1349441.jpeg,,1.9 D (F8Q),R19| Clio - Hasta 8/96 - (42-42),32,0,0,21,30,,BH
149,AL-149,code128,Renault,11,unidad,1,1,2.247,2.247,1,No Tax,exclusive,14072016_1351041.jpeg,,1.9 D (F8Q),Desde 8/96 - (45-45),32,0,0,21,30,,BH
151,AL-151,code128,Renault,11,unidad,1,1,2.247,2.247,1,No Tax,exclusive,14072016_1434191.jpeg,,1.9 D (F8Q),Express| Clio - Hasta 8/96 - (46-44) - Chav Media Luna,32,0,0,21,30,,BH
