"Código de barras",Código,Variantes,expected,counted
"*10'156/4 a 001*","10-156/4 STD",,3.0000,
01348/0,01348/0,,1.0000,
01349/0,01349/0,,1.0000,
01F002A,01F002A,,3.0000,
03005V,03005V,,1.0000,
03006V,03006V,,1.0000,
037906031AA,037906031AA,,4.0000,
"04 3092-AC","3092-A / 1566 A",,4.0000,
04108'a,108-A,,4.0000,
041109'e,1109-E,,4.0000,
04111-28017,JR-TH103,,2.0000,
04111-54090,TH104,,3.0000,
04111-54100,SJ-TH106,,2.0000,
04111-54220,TH108,,0.0000,
04111-67020,SJ-TH102,,1.0000,
04111-87703,JR-TH135,,1.0000,
04111-87752,JR-TH136,,1.0000,
041175'EC,"1175-E / 21266 E",,0.0000,
041297'ec,1297-E,,4.0000,
041422'eb,1422-E,,4.0000,
0421624'E,21624-E,,8.0000,
0423301'ecb,"23301-E / 21205 E",,4.0000,
"04246'ac std","246-A / 1057 A",,8.0000,
043093-ec,"3093-E / 21566 E",,4.0000,
043301'a,"3301-A / 1205 A",,8.0000,
043308'ac,3308-A,,12.0000,
043384'AC,"3384-A / 21164 A","1.7 8v TD",0.0000,
043385'EC,"3385-E / 21164 E",,4.0000,
043482'ab,"3192-A / 1711 A",,15.0000,
043483'eb,"3191-E / 21711 E",,13.0000,
043484'a,"3484-A / 1708 A",,12.0000,
043485'eb,"3485-E / 21708 E",,0.0000,
043778'an,"3778-A / 1722 A",,12.0000,
043779'ebn,"3779-E / 21722 E",,12.0000,
043861'EB,"3861-E / 21256 E",,8.0000,
044006'AC,"4006-A / 1501 A",,4.0000,
044007'ECB,"4007-E / 21501 E",,8.0000,
04617PJ,04617PJ,"3.0 12v (187)",-1.0000,
"04670P J","04670P J",,3.0000,
04815'AC,"815-A / 1104 A",,16.0000,
04856'ac,"856-A / 1667 A",,4.0000,
05274P,05274P,,1.0000,
05620V,05620V,,1.0000,
06110-689-000,JR-TH124,,1.0000,
06110-P08-010,JR-TH121,,1.0000,
06110-P0D-000,TH126,,0.0000,
06110-P2A-000,JR-TH122,,0.0000,
06110-RAA-A01,JR-TH123,,1.0000,
061192'EG,"1192-E / 21064 E",,12.0000,
"061248'e std",1248-E,,24.0000,
06193'AC,"193-A / 1064 A",,12.0000,
061A0-PM6-000,JR-TH127,,1.0000,
061A1-PM3-010,JR-TH120,,1.0000,
061A1-PT0-000,JR-TH125,,0.0000,
0622023'E,22023-E,,6.0000,
"06247'a std",247-A,,14.0000,
06276V,06276V,,2.0000,
06277V,06277V,,2.0000,
06278V,06278V,,2.0000,
08015/1,08015/1,,2.0000,
08040/0,08040/0,,1.0000,
08041/0,08041/0,,1.0000,
08058/0,08058/0,,1.0000,
08059/0,08059/0,,1.0000,
08060/0,08060/0,,1.0000,
08061/0,08061/0,,1.0000,
08063/0,08063/0,,1.0000,
08066/0,08066/0,,1.0000,
097SP+216H,"097 SP+216H",,1.0000,
09ch0019,09CH0019,,4.0000,
09ch0059,09CH0059,"1.0 8v",-2.0000,
09CH0079,09CH0079,,2.0000,
09CH0089,09CH0089,,1.0000,
09CH0099,09CH0099,,-1.0000,
09CH0149,09CH0149,,5.0000,
09ch0179,09CH0179,,4.0000,
09FI0029,09FI0029,,0.0000,
09FI0039,09FI0039,,3.0000,
09fi0049,09FI0049,"1.4 8v (Tipo)",-1.0000,
09FI0089,09FI0089,,1.0000,
09FI0099,09FI0099,,5.0000,
09FI0109,09FI0109,,8.0000,
09FI0139,09FI0139,,1.0000,
09fi0169,09FI0169,,1.0000,
09FI0189,09FI0189,,1.0000,
09FO0019,09FO0019,,3.0000,
09FO0029,09FO0029,,3.0000,
09FO0059,09FO0059,,0.0000,
09fo0069,09FO0069,,1.0000,
09FO0079,09FO0079,,3.0000,
09FO0089,09FO0089,,1.0000,
09FO0119,09FO0119,,3.0000,
09FO0159,09FO0159,,2.0000,
09FO0169,09FO0169,,2.0000,
09FO0189,09FO0189,,1.0000,
09FO0199,09FO0199,,1.0000,
09FO0289,09FO0289,,1.0000,
09FO0329,09FO0329,,6.0000,
09pe0019,09PE0019,,2.0000,
09PE0029,09PE0029,,2.0000,
09pe0039,09PE0039,,6.0000,
09PE0049,09PE0049,,1.0000,
09pe0069,09PE0069,,1.0000,
09PE0089,09PE0089,,5.0000,
09PE0099,09PE0099,,5.0000,
09PE0149,09PE0149,,3.0000,
09PE0199,09PE0199,,5.0000,
09PE0219,09PE0219,,2.0000,
09PE0229,09PE0229,,1.0000,
09PE0239,09PE0239,,3.0000,
09PE0249,09PE0249,,0.0000,
09PE0259,09PE0259,,2.0000,
09PE0279,09PE0279,,1.0000,
09PE0289,09PE0289,,1.0000,
09RE0019,09RE0019,,5.0000,
09RE0029,09RE0029,,3.0000,
09RE0039,09RE0039,,1.0000,
09RE0049,09RE0049,"1.6 8v (C1L/C2L)",9.0000,
09RE0059,09RE0059,,2.0000,
09RE0069,09RE0069,,8.0000,
09RE0089,09RE0089,,1.0000,
09RE0099,09RE0099,,2.0000,
09RE0119,09RE0119,,1.0000,
09RE0129,09RE0129,,1.0000,
09re0149,09RE0149,,2.0000,
09RE0159,09RE0159,,1.0000,
09RE0169,09RE0169,,2.0000,
09RE0189,09RE0189,,6.0000,
09RE0239,09RE0239,,2.0000,
09TO0019,09TO0019,,0.0000,
09VW0019,09VW0019,,4.0000,
09VW0029,09VW0029,,2.0000,
09VW0039,09VW0039,,1.0000,
09VW0069,09VW0069,,1.0000,
09VW0079,09VW0079,,2.0000,
09VW0089,09VW0089,,1.0000,
09vw0179,09VW0179,,1.0000,
09VW0229,09VW0229,,5.0000,
09VW0249,09VW0249,,2.0000,
09VW0259,09VW0259,,3.0000,
"10'067-4 A 008","10-067/4 0.25",,1.0000,
"10'067-4 A 009","10-067/4 0.50",,1.0000,
"10'136-4 A 001","10-136/4 STD",,0.0000,
"10'137-4 a 001","10-137/4 STD",,3.0000,
"10'137-4 a 010","10-137/4 0.10",,2.0000,
"10'139-4 A 001","10-139/4 STD",,1.0000,
"10'139-4 A 010","10-139/4 010",,1.0000,
"10'237-4 a 001","10-237/4 STD",,64.0000,
"10'237-4 A 008","10-237/4 0.25","1.3 8v (R12)",-1.0000,
"10'237-4 A 009","10-237/4 0.50","1.6 8v (C1L/C2L)",-3.0000,
"10'237-4 A 009","10-237/4 0.50","1.3 8v (R12)",1.0000,
"10'237-4 A 010","10-237/4 0.75",,1.0000,
