Code,Name,Name,Image name,,Description
ANTECUERPO,ANTECUERPO,ANTECUERPO,,,
ARBOL AUXILIAR,ARBOL AUXILIAR,ARBOL AUXILIAR,,,
ARBOL DE LEVAS,ARBOL DE LEVAS,ARBOL DE LEVAS,,,
ARO RECTIFICACION,ARO RECTIFICACION,ARO RECTIFICACION,,AROS,
ARO SEMI HIDRAULICO,ARO SEMI HIDRAULICO,ARO SEMI HIDRAULICO,,AROS,
AROS HIDRAULICOS,AROS HIDRAULICOS,AROS HIDRAULICOS,,AROS,
AXIAL,AXIAL,AXIAL,,,
BALANCINES DE VALVULA,BALANCINES DE VALVULA,BALANCINES DE VALVULA,,,
BANCADA ARBOL DE LEVAS,BANCADA ARBOL DE LEVAS,BANCADA ARBOL DE LEVAS,,,
BIELA,BIELA,BIELA,,,
BLOCK,BLOCK,BLOCK,,,
BOMBA DE ACEITE,BOMBA DE ACEITE,BOMBA DE ACEITE,,,
BOMBA DE AGUA,BOMBA DE AGUA,BOMBA DE AGUA,,,
BOTADOR VALVULA,BOTADOR VALVULA,BOTADOR VALVULA,,BOTADORES,
BOTADORES HIDRAULICOS,BOTADORES HIDRAULICOS,BOTADORES HIDRAULICOS,,BOTADORES,
BUJE DE LEVAS,BUJE DE LEVAS,BUJE DE LEVAS,,,
BULONES DE TAPA,BULONES DE TAPA,BULONES DE TAPA,,,
CADENA BOMBA ACEITE,CADENA BOMBA ACEITE,CADENA BOMBA ACEITE,,,
CAMISA,CAMISA,CAMISA,,,
CIGUENAL,CIGUENAL,CIGUENAL,,,
COJINETE ARBOL DE LEVAS,COJINETE ARBOL DE LEVAS,COJINETE ARBOL DE LEVAS,,COJINETES,
COJINETE DE BANCADA,COJINETE DE BANCADA,COJINETE DE BANCADA,,COJINETES,
COJINETE DE BIELA,COJINETE DE BIELA,COJINETE DE BIELA,,COJINETES,
CONJUNTO,CONJUNTO,CONJUNTO,,,
CORREA DE DISTRIBUCION,CORREA DE DISTRIBUCION,CORREA DE DISTRIBUCION,,CORREAS,
CORREA POLI V,CORREA POLI V,CORREA POLI V,,CORREAS,
CUNA / CABALLETE DE ARBOL LEVAS,CUNA / CABALLETE DE ARBOL LEVAS,CUNA / CABALLETE DE ARBOL LEVAS,,,
ENGRANAJE ARBOL AUXILIAR,ENGRANAJE ARBOL AUXILIAR,ENGRANAJE ARBOL AUXILIAR,,ENGRANAJES,
ENGRANAJE DE CIGUENAL,ENGRANAJE DE CIGUENAL,ENGRANAJE DE CIGUENAL,,ENGRANAJES,
FILTRO DE ACEITE,FILTRO DE ACEITE,FILTRO DE ACEITE,,,
INYECTOR,INYECTOR,INYECTOR,,,
JUEGO DE JUNTAS COMPLETO,JUEGO DE JUNTAS COMPLETO,JUEGO DE JUNTAS COMPLETO,,JUNTAS,
JUNTA ADMISION Y ESCAPE,JUNTA ADMISION Y ESCAPE,JUNTA ADMISION Y ESCAPE,,JUNTAS,
JUNTA CARTER,JUNTA CARTER,JUNTA CARTER,,JUNTAS,
JUNTA DESCARBONIZACION,JUNTA DESCARBONIZACION,JUNTA DESCARBONIZACION,,JUNTAS,
JUNTA TAPA CILINDROS,JUNTA TAPA CILINDROS,JUNTA TAPA CILINDROS,,JUNTAS,
JUNTA TAPA DE VALVULA,JUNTA TAPA DE VALVULA,JUNTA TAPA DE VALVULA,,JUNTAS,
KIT DE DISTRIBUCION,KIT DE DISTRIBUCION,KIT DE DISTRIBUCION,,,
KIT DE RESORTES,KIT DE RESORTES,KIT DE RESORTES,,,
KIT DE RETENES,KIT DE RETENES,KIT DE RETENES,,,
KIT POLI V,KIT POLI V,KIT POLI V,,,
MOTOR COMPLETO,MOTOR COMPLETO,MOTOR COMPLETO,,,
RESORTES DE VALVULAS,RESORTES DE VALVULAS,RESORTES DE VALVULAS,,,
RETEN ARBOL DE LEVAS,RETEN ARBOL DE LEVAS,RETEN ARBOL DE LEVAS,,RETENES,
RETEN BANCADA C/ PORTA RETEN,RETEN BANCADA C/ PORTA RETEN,RETEN BANCADA C/ PORTA RETEN,,RETENES,
RETEN DE BANCADA,RETEN DE BANCADA,RETEN DE BANCADA,,RETENES,
RETEN DE DISTRIBUCION,RETEN DE DISTRIBUCION,RETEN DE DISTRIBUCION,,RETENES,
RETEN DISTRIBUCION C/ PORTA RETEN,RETEN DISTRIBUCION C/ PORTA RETEN,RETEN DISTRIBUCION C/ PORTA RETEN,,RETENES,
RETEN DE VALVULA,RETEN DE VALVULA,RETEN DE VALVULA,,RETENES,
RETENES,RETENES,RETENES,,,
SELLADORES,SELLADORES,SELLADORES,,RETENES,
SENSOR,SENSOR,SENSOR,,,
SENSOR DE DETONACION,SENSOR DE DETONACION,SENSOR DE DETONACION,,,
SENSOR DE VELOCIDAD,SENSOR DE VELOCIDAD,SENSOR DE VELOCIDAD,,,
SUBCONJUNTO,SUBCONJUNTO,SUBCONJUNTO,,,
TAPAS DE CILINDROS,TAPAS DE CILINDROS,TAPAS DE CILINDROS,,,
TERMOSTATO,TERMOSTATO,TERMOSTATO,,TERMOSTATOS,
TERMOSTATO DE CARCAZA,TERMOSTATO DE CARCAZA,TERMOSTATO DE CARCAZA,,TERMOSTATOS,
VALVULAS,VALVULAS,VALVULAS,,,
VARILLA LEVANTA VALVULAS,VARILLA LEVANTA VALVULAS,VARILLA LEVANTA VALVULAS,,,
VARIOS,VARIOS,VARIOS,,,
AROS,AROS,AROS,,,
BOTADORES,BOTADORES,BOTADORES,,,
COJINETES,COJINETES,COJINETES,,,
CORREAS,CORREAS,CORREAS,,,
ENGRANAJES,ENGRANAJES,ENGRANAJES,,,
JUNTAS,JUNTAS,JUNTAS,,,
TERMOSTATO,TERMOSTATO,TERMOSTATO,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
