code,amount,Variant
TC-608-20 0M,1,
8001608200016,1,
TC-608-20 2M,1,
8001547200016,1,
8001637200018,2,
8001636200019,1,
8001638200017,2,
8001635200010,1,
8001511200011,3,
8001513200019,1,
8001561200016,1,
8001512200010,2,
DBH9205V,5,
8001632200013,2,
8001631200014,2,
8001633200012,3,
8001634200011,2,
8001657200012,1,
8001631770012,2,
8001632770011,1,
8001633770010,1,
8001661200015,1,
8001662200014,2,
8001663200013,0,
8001664200012,1,
8001665200011,2,
8001663770011,1,
8001662770012,1,
8001661770013,1,
8001654200015,1,
8001653200016,1,
8001652200017,3,
8001651200018,1,
8001652770015,2,
8001651770016,1,
TC-527-20 5M,1,
TC-527-20 3M,1,
TC-527-20,1,
TC-527-20 2M,2,
8001646200016,1,
8001562200015,2,
8001563200014,5,
TC-615-20 0M,1,
8001531200015,1,
7898591240829,2,
7898591240935,4,
7898591240973,2,
8001533200013,1,
8001650200019,2,
8001643200019,1,
8001642200010,4,
8001641200011,4,
8001641770019,1,
8001642770018,1,
8001643770017,1,
TC-615-20 1M,1,
TC-615-20 2M,1,
TC-615-20 3M,1,
8001671200012,1,
8001673200010,1,
8001672200011,1,
dbh9912v,5,
DBH9852P,1,
dbh9825p,1,
dbh9688v,1,
dbh9607v,8,
dbh9606v,2,
8159269430010,1,
dbh9268p,2,
dbh9207p,2,
dbh9204p,4,
dbh8796p,5,
dbh8006p,8,
dbh8606p,5,
dbh8573p,2,
dbh8422v,3,
dbh8412p,2,
dbh8024p,4,
dbh8006v,1,
dbh8003p,3,
dbh6885p,2,
dbh6882p,2,
dbh8422p,3,
dbh8130p,3,
dbh6864p,2,
dbh6858p,4,
dbh6690p,4,
dbh6123p,3,
dbh8797p,2,
dbh9283p,1,
dbh8399p,4,
dbh6121p,10,
dbh5312p,2,
dbh5092p,10,
dbh6487p,2,
dbh6104p,3,
dbh6687p,6,
dbh5211p,1,
DBH6883P,3,
dbh6679p,6,
dbh6871p,1,
dbh6870p,1,
DBH8510P,4,
dbh6680p,4,
DBH8510V,1,
dbh9288p,1,
dbh6123v,3,
DBH9826V,3,
DBH5488P,2,
DBH5193P,3,
DBH9192P,2,
DBH8376P,3,
DBH8032P,1,
DBH9241V,4,
DBH8038P,6,
DBH8530V,3,
DBH9270V,2,
DBH8429V,3,
DBH9191V,2,
DBH8087V,4,
DBH6884V,3,
DBH9196V,2,
DBH6863V,4,
DBH9608V,2,
DBH9656V,3,
DBH9211V,1,
DBH8097P,4,
DBH8002P,5,
DBH8009P,4,
DBH8237P,2,
DBH8098P,5,
DBH8098V,2,
DBH6684P,2,
DBH9203P,5,
DBH6677P,2,
DBH8010P,2,
DBH8271P,1,
DBH8515P,4,
7793960042069,1,
DBH9203V,1,
DBH9288V,0,
DBH8070P,1,
8159205430012,6,
561Pol,-6,
1098-P,0,
1015,1,
dbh6823v,1,
DBH9797,3,
DBH6777,1,
dbh5530,1,
7898591246883,5,
8020992000019,12,
7790537016393,0,
DBH9196P,25,
DBH9211P,34,
dbh8505p,7,
7898591245671,1,
6355,0,
8020991000010,12,
6174,1,
4625G,1,
cyc70000-0,2,
8152985000017,2,
19789241582462300,12,
19789241582014300,12,
19789241564282300,8,
19789241547912300,8,
19789241547937300,8,
044007'ECB,8,
044006'AC,4,
19789241582734300,8,
19789241582267300,4,
19789241564275300,7,
061192'EG,12,
06193'AC,12,
19789241587581300,6,
19789241586998300,10,
043779'ebn,12,
043778'an,12,
0421624'E,8,
19789241582341300,8,
19789241556473300,8,
19789241556493300,4,
04815'AC,16,
1978924158273030,16,
043484'a,12,
043485'eb,0,
041422'eb,4,
19789241564304300,12,
19789241582304300,12,
19789241547884300,8,
19789241547888300,16,
043385'EC,4,
043384'AC,4,
04856'ac,4,
3514 A / 1163 A,8,
041175'EC,0,
3515-E,8,
19789241582567300,12,
19789241582099300,4,
19789241548070300,8,
19789241548066300,8,
19789241582036300,12,
19789241582509300,12,
043308'ac,12,
19789241564276300,4,
19789241564289300,12,
19789241582069300,16,
19789241582535300,12,
19789241562674300,8,
19789241558210300,8,
19789241582158300,8,
19789241582643300,8,
041109'e,4,
04108'a,4,
06247'a std,14,
061248'e std,24,
041297'ec,4,
0622023'E,6,
19789241582171300,4,
19789241582645300,4,
19789241582640300,8,
04246'ac std,8,
19789241582166300,8,
19789241582636300,0,
19789241582168300,4,
043301'a,8,
0423301'ecb,4,
19789241587536300,6,
19789241547955300,28,
19789241547953300,12,
908048,12,
tap908068,20,
908098,13,
tap908537,14,
908055,6,
TAP908032,2,
908010,14,
043482'ab,15,
043483'eb,13,
20'246-5 a 001,1,
20'873-5 A 001,4,
10'873-4 a 001,5,
10'777-4 a 001,2,
10-082/4 STD,1,
*10'156/4 a 001*,3,
20'156-5 A 001,3,
10'410-4 A 001,1,
20-419/5 A,1,
20'734-5 A 001,2,
20'734-5'a'020,2,
10'734-4'A'020,1,
10'734-4 A 001,0,
10-775/4 STD,2,
20'775-5 A 001,2,
10'733-4 a 001,2,
10'733-4 a 030,2,
10'139-4 A 001,1,
10'139-4 A 010,1,
20'139-5 a 001,1,
10'136-4 A 001,0,
20'136-5 A 001,2,
10'137-4 a 010,2,
10'137-4 a 001,3,
10-244/4 020,2,
20'135-5 A 001,4,
10'247-4 a 001,2,
20'247-5 A 001,2,
20'244-5 A 001,1,
20'241-5 A 001,2,
10'241-4 a 001,2,
10'244-4 A 001,5,
10'237-4 a 001,64,
10'237-4 A 008,2,
10'237-4 A 010,1,
