name,code,Barcode Symbology,unit,precategoria,Unit Code,Sale Unit Code, Purchase Unit Code,,,stockm, Tax Rate Name,Tax Method,imagen,categoria,modelo,detalle,dto1,dto2,dto3,rec1,rec2, HSN Code,marca
8797Vit,8797VIT,code128,Otros,34,unidad,1,1,100.85,100.85,3,No Tax,exclusive,16042018_0927301.jpeg,83,.,Medida 35 x 50 x 8,0,0,0,21,30,,DBH
759,AL-759,code128,Chevrolet,11,unidad,1,1,2071.30,2071.30,2,No Tax,exclusive,12072016_1520201.jpeg,,1.0 8v,Suzuki fun - Carburador -  Letra J,32,0,0,21,30,,AMOROSO
JR-521-15,8004521150017,code128,Chevrolet,48,unidad,1,1,1836.21,1836.21,3,No Tax,exclusive,16042015_1305121.jpeg,62,1.0 8v,MPFI - Fun| Celta,10,25,0,21,30,,ILLINOIS
SC-14165 STD,SC-14165 STD,code128,Chevrolet,38,unidad,1,1,2556.50,2556.50,1,No Tax,exclusive,23062015_1235011.jpeg,,1.0 8v,Corsa| Fun - diam 71mm,0,0,0,21,20,,MAHLE
52032V,52032V,code128,Peugeot,34,unidad,1,1,314.27,314.27,2,No Tax,exclusive,25012019_1115081.jpeg,73,1.0 8v (D7D)|1.2 8v (D7F),Twingo| Clio - (6 x 10.80 x 20),0,0,0,21,30,,TEN UP
JD-395-15,JD-395-15,code128,Renault,48,unidad,1,1,1603.20,1603.20,1,No Tax,exclusive,29052019_1033431.jpeg,65,1.0 8v (D7D)|1.2 8v (D7F),Twingo,25,0,0,21,30,,ILLINOIS
TAP0300,TAP0300,code128,Suzuki,39,unidad,1,1,4473.38,4473.38,1,No Tax,exclusive,18012018_0844581.jpeg,,1.0 8v (F8A),Jimny| Samurai| Swift| Alto| Maruti,0,0,0,21,30,,IMPORTADO
1000315,1000315,code128,Volkswagen,15,unidad,1,1,1244.58,1244.58,1,No Tax,exclusive,19022019_0851591.jpeg,,1.0 8v (Gol),Gol| Seat - (Remanufacturado),10,0,0,21,30,,VITOBELLO RICAMBI
280155812,280155812,code128,Volkswagen,27,unidad,1,1,2000.00,2000.00,1,No Tax,exclusive,21012019_1406541.jpeg,,1.0 8v (Gol),Gol,0,0,0,0,0,,VITOBELLO RICAMBI
09VW0069,09VW0069,code128,Volkswagen,20,unidad,1,1,248.59,248.59,1,No Tax,exclusive,31032015_1225551.jpeg,,1.0 8v (Gol),Gol| Ibiza,0,0,0,21,40,,SEEGER RENO
VKMA 01106 A,VKMA 01106 A,code128,Volkswagen,28,unidad,1,1,2474.97,2474.97,0,No Tax,exclusive,13042018_1515161.jpeg,,1.0 8v (Gol),Gol| Ibiza| Cordoba,42,0,0,21,30,,SKF
127,AL-127,code128,Renault,11,unidad,1,1,2138.00,2138.00,1,No Tax,exclusive,15072016_1305191.jpeg,,1.0 8v (R4S),1.020cc Nafta - 4 S,32,0,0,21,30,,BH
JR-213-15,8004213150011,code128,Renault,48,unidad,1,1,1070.25,1070.25,1,No Tax,exclusive,21042015_1310451.jpeg,62,1.0 8v (R4S)|1.3 8v (R12),1.0 - 1.3 8v - R12| R4| R5| R6,10,25,0,21,30,,ILLINOIS
AL5930AB,AL5930AB,code128,Ford,11,unidad,1,1,1906.06,1906.06,1,No Tax,exclusive,23112018_0916431.jpeg,,1.0 8v (ZETEC ROCAM),Ka,0,0,0,21,30,,STH
EMA 7717,EMA 7717,code128,Ford,43,unidad,1,1,882.00,882.00,1,No Tax,exclusive,21122018_1333021.jpeg,50,1.0 8v (ZETEC ROCAM),Ka| Fiesta - (1.2-1.50-2),22,0,0,21,30,,CENTRINEL
JR-388-15,8004388150014,code128,Ford,48,unidad,1,1,2945.79,2945.79,2,No Tax,exclusive,21042015_1351031.jpeg,62,1.0 8v (ZETEC ROCAM),Ka,10,25,0,21,30,,ILLINOIS
10-775/4 010,10-775/4 010,code128,Ford,45,unidad,1,1,238.00,238.00,1,No Tax,exclusive,01022017_1310081.jpeg,57,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
10-775/4 STD,10-775/4 STD,code128,Ford,45,unidad,1,1,238.00,238.00,1,No Tax,exclusive,20032015_1301411.jpeg,57,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
20-775/5 010,20-775/5 010,code128,Ford,45,unidad,1,1,366.91,366.91,1,No Tax,exclusive,01022017_1313081.jpeg,56,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
20-775/5 STD,20'775-5 A 001,code128,Ford,45,unidad,1,1,366.91,366.91,1,No Tax,exclusive,20032015_1305441.jpeg,56,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
30-775/1 0.05,30-775/1 A 0.05,code128,Ford,12,unidad,1,1,111.76,111.76,1,No Tax,exclusive,06022019_1330311.jpeg,,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
30-775/1 STD,30-775/1,code128,Ford,12,unidad,1,1,111.76,111.76,1,No Tax,exclusive,01022017_1306261.jpeg,,1.0 8v (ZETEC ROCAM)|1.3 8v (Endura)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus,0,0,0,21,30,,SINTERMETAL
5338,5338,code128,Ford,34,unidad,1,1,648.86,648.86,1,No Tax,exclusive,26012018_0859451.jpeg,69,1.0 8v (ZETEC ROCAM)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Focus| Eco Sport,0,0,0,21,30,,SABO
1000798b,1000798b,code128,Ford,15,unidad,1,1,1165.00,1165.00,1,No Tax,exclusive,15042019_1514071.jpeg,,1.0 8v (ZETEC ROCAM)|1.6 8v (ZETEC ROCAM),Ka| Fiesta| Eco Sport| Focus,10,0,0,21,30,,VITOBELLO RICAMBI
03022V,7790537016393,code128,Ford,34,unidad,1,1,786.76,786.76,1,No Tax,exclusive,12032015_0713101.jpeg,69,1.0 8v (ZETEC ROCAM)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Focus| Eco Sport,0,0,0,21,30,,TEN UP
10-779/4 010,10-779/4 010,code128,Ford,45,unidad,1,1,238.00,238.00,1,No Tax,exclusive,09042019_1445231.jpeg,57,1.0 8v (ZETEC ROCAM)|1.6 8v (ZETEC ROCAM),Fiesta| Ka| Ecosport| Focus - Sin traba,0,0,0,21,30,,SINTERMETAL
